,created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
0,2022-04-08 16:59:39+00:00,1512475271106113550,"RT @GJeevith: ""தமிழ் உள்ளிட்ட 22 மொழிகளும் அலுவல் மொழியாக்கப்பட வேண்டும்.

பிற மொழிகளை கற்கும் விஷயத்தில் அனைத்து மாநில  மக்களின் விருப்பங்…",PonPaaSon,பொன்.பா.Son🔥🔥🔥,Fri Feb 04 11:47:56 +0000 2011,[]
1,2022-04-08 16:59:39+00:00,1512475270649094144,RT @Souravnandi2017: @bobinmohanty @ecorea2008 @AprajitaSarangi @AshwiniVaishnaw @RailMinIndia @narendramodi Please follow up the pay upgra…,NirajKu39793741,Niraj Kumar,Thu Apr 01 04:38:05 +0000 2021,[]
2,2022-04-08 16:59:38+00:00,1512475268065099777,"RT @KhanAmanatullah: मुस्लिम औरतों को खुले आम भरी सभा में ये गुंडा भगवा पहन कर रेप की धमकी दे रहा है, ऐसे गुंडों से ही हिंदू धर्म को सबसे ब…",RashidR04749910,Rashid Rashid,Tue Apr 28 17:54:33 +0000 2020,[]
3,2022-04-08 16:59:38+00:00,1512475264370241537,"RT @BhaiyyaRekhi: मुद्रा योजना ने सात वर्षों में छोटे और मंझोले उद्यमियों को जहां एक ओर धन की उपलब्धता सुनिश्चित कराई, वहीं उनका सहयोग करके…",vasantkodrani,Vasant Kodrani,Mon Jul 06 06:07:14 +0000 2015,[]
4,2022-04-08 16:59:37+00:00,1512475263015489542,RT @PahwaReyansh: @AlokShastri12 @bhupeshbaghel @plpunia @MohanMarkamPCC @TS_SinghDeo @rssurjewala @priyankagandhi @ChhattisgarhCMO @OPChou…,ShandeyJi,Shandey Ji,Tue Apr 05 08:40:16 +0000 2022,[]
5,2022-04-08 16:59:37+00:00,1512475262570487808,"RT @KA_HomeBuyers: Dear @CMofKarnataka @csogok, Look at your @OfficeRera Case list today. 3+3=6 cases for 6 bench plus AO!! One case per da…",Rahulsahu82,Rahul,Mon Nov 22 16:57:44 +0000 2021,[]
6,2022-04-08 16:59:37+00:00,1512475261173788674,माननीय प्रधानमंत्री श्री @narendramodi  जी  मैं मणिपुर आया मुझसे इनर लाइन परमिट पूछा गया कि आप इम्फाल क्यों आये हो… https://t.co/IZhT1yRe7q,Shankar_Yadavji,Shankar Yadav,Tue Dec 03 13:07:39 +0000 2013,"[{'url': 'https://t.co/IZhT1yRe7q', 'expanded_url': 'https://twitter.com/i/web/status/1512475261173788674', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]"
7,2022-04-08 16:59:37+00:00,1512475260049780739,RT @narendramodi: We are fully committed to creating a vibrant system of research and innovation. The Cabinet decision on the Atal Innovati…,SAIFALI22349802,GONTI SIVAJI,Wed Jun 16 14:43:25 +0000 2021,[]
8,2022-04-08 16:59:36+00:00,1512475258418511872,RT @bobinmohanty: @ecorea2008 @AprajitaSarangi @AshwiniVaishnaw @RailMinIndia Thanks a lot for going our memo in detail and assuring to  so…,NirajKu39793741,Niraj Kumar,Thu Apr 01 04:38:05 +0000 2021,[]
9,2022-04-08 16:59:36+00:00,1512475256589496322,"RT @nitin_gadkari: कोरोना के खिलाफ चल रही देश की लड़ाई अब और होगी मजबूत!
प्रधानमंत्री श्री @narendramodi जी के नेतृत्व में देश में चल रहे…",Devendr46084951,Devendra Kashyap,Sun Dec 19 08:00:04 +0000 2021,[]
